item_id,item_name,category_id,category_name,subcategory,brand,vendor_id,upc,unit_cost,unit_retail,unit_weight_lbs,unit_volume_cf,is_perishable,is_private_label,is_seasonal,avg_shelf_days,min_shelf_qty,max_shelf_qty,reorder_point,lead_time_days,item_status
1,Great Value Dairy Item 0001,1,Grocery,Dairy,Great Value,V1571,214832269481,148.44,192.67,33.87,4.462,True,True,True,223,1,13,5,7,Active
2,Store Brand Dairy Item 0002,1,Grocery,Dairy,Store Brand,V3872,561902006518,112.47,167.18,11.1,2.95,True,False,False,10,2,56,16,11,Active
3,Sam's Choice Frozen Item 0003,1,Grocery,Frozen,Sam's Choice,V2470,481597082643,20.89,28.24,30.23,4.038,True,True,False,281,1,71,15,3,Active
4,Store Brand Frozen Item 0004,1,Grocery,Frozen,Store Brand,V1187,351948207513,115.68,171.42,38.68,4.926,True,False,False,58,4,29,17,21,Active
5,Sam's Choice Frozen Item 0005,1,Grocery,Frozen,Sam's Choice,V3874,851347210313,71.38,104.79,32.44,3.05,True,True,False,132,2,41,15,9,Seasonal
6,Store Brand Bakery Item 0006,1,Grocery,Bakery,Store Brand,V4178,349348354829,137.08,210.71,41.11,4.027,True,False,False,40,2,70,21,11,Active
7,Equate Food Snacks Item 0007,1,Grocery,Snacks,Equate Food,V1585,251461507038,176.99,257.9,12.41,2.811,True,False,False,306,4,69,21,13,Active
8,Sam's Choice Beverages Item 0008,1,Grocery,Beverages,Sam's Choice,V4527,267974663989,98.96,148.67,31.41,3.962,True,True,False,39,4,36,22,15,Active
9,Store Brand Dairy Item 0009,1,Grocery,Dairy,Store Brand,V4624,926939990836,136.22,169.71,13.41,3.208,True,False,True,229,2,41,3,9,Seasonal
10,Sam's Choice Beverages Item 0010,1,Grocery,Beverages,Sam's Choice,V2222,803694611575,182.57,282.66,25.43,1.003,True,True,False,89,5,61,19,1,Active
11,Equate Food Dairy Item 0011,1,Grocery,Dairy,Equate Food,V4406,438472520493,22.82,30.7,12.05,1.212,True,False,False,47,1,58,18,3,Seasonal
12,Store Brand Bakery Item 0012,1,Grocery,Bakery,Store Brand,V3251,388472023723,26.11,36.3,26.43,3.037,True,False,False,283,6,56,9,10,Active
13,Marketside Snacks Item 0013,1,Grocery,Snacks,Marketside,V2015,169684544463,179.97,248.47,16.97,2.946,True,True,False,119,1,16,23,2,Active
14,Great Value Frozen Item 0014,1,Grocery,Frozen,Great Value,V3740,334013073383,14.64,18.96,27.01,3.62,True,True,False,302,4,27,18,14,Active
15,Great Value Snacks Item 0015,1,Grocery,Snacks,Great Value,V4538,158965931802,71.18,97.12,33.7,4.921,True,True,True,213,6,33,6,8,Active
16,Store Brand Snacks Item 0016,1,Grocery,Snacks,Store Brand,V2894,185569774204,28.47,36.25,22.21,4.308,True,False,False,32,6,46,3,3,Discontinued
17,Sam's Choice Bakery Item 0017,1,Grocery,Bakery,Sam's Choice,V4541,280640463568,81.58,113.6,19.01,4.927,True,True,False,239,3,39,20,16,Active
18,Marketside Bakery Item 0018,1,Grocery,Bakery,Marketside,V3220,920600564299,193.76,277.4,15.75,0.26,True,True,False,278,2,15,19,3,Active
19,Great Value Beverages Item 0019,1,Grocery,Beverages,Great Value,V2653,726594012825,14.06,21.72,12.39,2.977,True,True,False,221,6,49,21,17,Active
20,Marketside Bakery Item 0020,1,Grocery,Bakery,Marketside,V2087,243433808038,134.11,177.79,33.62,1.507,True,True,False,44,1,41,22,19,Seasonal
21,Great Value Beverages Item 0021,1,Grocery,Beverages,Great Value,V4822,504776119396,43.02,56.19,14.32,2.197,True,True,False,161,5,63,23,17,Active
22,Store Brand Frozen Item 0022,1,Grocery,Frozen,Store Brand,V4596,388339584783,186.39,231.39,5.86,0.544,True,False,False,146,3,50,9,11,Active
23,Marketside Beverages Item 0023,1,Grocery,Beverages,Marketside,V4465,199002427407,97.96,153.03,31.75,4.148,True,True,True,177,2,52,11,6,Active
24,Store Brand Snacks Item 0024,1,Grocery,Snacks,Store Brand,V4870,859707157168,112.4,139.91,45.21,2.732,True,False,False,305,5,21,16,5,Active
25,Marketside Dairy Item 0025,1,Grocery,Dairy,Marketside,V2022,214533606906,179.84,230.92,17.75,2.804,True,True,False,324,6,21,10,6,Seasonal
26,Sam's Choice Snacks Item 0026,1,Grocery,Snacks,Sam's Choice,V2360,982236590250,5.44,8.13,33.53,3.678,True,True,False,88,6,18,15,2,Active
27,Sam's Choice Bakery Item 0027,1,Grocery,Bakery,Sam's Choice,V2250,975402538007,163.41,226.18,43.58,1.122,True,True,False,211,3,29,5,9,Active
28,Store Brand Snacks Item 0028,1,Grocery,Snacks,Store Brand,V2356,134098763897,136.06,209.19,5.86,4.852,True,False,False,142,1,18,22,14,Active
29,Marketside Snacks Item 0029,1,Grocery,Snacks,Marketside,V2577,735223535913,121.44,170.57,9.58,0.231,True,True,False,273,5,55,24,7,Active
30,Great Value Frozen Item 0030,1,Grocery,Frozen,Great Value,V1510,655340655504,124.82,182.91,15.53,2.048,True,True,False,158,5,20,9,14,Active
31,Equate Food Bakery Item 0031,1,Grocery,Bakery,Equate Food,V3244,103580822352,123.3,162.8,15.26,1.059,True,False,False,317,6,32,17,15,Active
32,Sam's Choice Beverages Item 0032,1,Grocery,Beverages,Sam's Choice,V4260,287844524081,94.9,148.09,32.98,1.426,True,True,False,324,3,17,10,10,Active
33,Sam's Choice Bakery Item 0033,1,Grocery,Bakery,Sam's Choice,V2946,180610047913,5.37,6.97,22.83,4.432,True,True,False,363,4,43,15,8,Active
34,Great Value Dairy Item 0034,1,Grocery,Dairy,Great Value,V4293,868618611504,155.79,200.59,25.95,0.261,True,True,False,69,4,20,17,17,Seasonal
35,Store Brand Frozen Item 0035,1,Grocery,Frozen,Store Brand,V3509,893774408754,190.03,295.8,44.61,2.139,True,False,False,235,2,59,18,15,Active
36,Sam's Choice Frozen Item 0036,1,Grocery,Frozen,Sam's Choice,V3567,401675263897,153.28,215.9,22.05,3.571,True,True,False,178,3,69,20,3,Active
37,Sam's Choice Snacks Item 0037,1,Grocery,Snacks,Sam's Choice,V1263,548458442836,138.94,205.99,16.61,2.335,True,True,True,222,4,69,21,1,Active
38,Store Brand Snacks Item 0038,1,Grocery,Snacks,Store Brand,V2223,528437913341,95.66,150.87,42.69,4.768,True,False,False,286,5,69,10,16,Active
39,Equate Food Snacks Item 0039,1,Grocery,Snacks,Equate Food,V3781,545809626678,6.29,8.39,36.24,4.204,True,False,False,325,5,13,15,19,Active
40,Great Value Dairy Item 0040,1,Grocery,Dairy,Great Value,V2891,152320127777,128.73,161.46,13.08,1.643,True,True,False,179,4,29,16,9,Active
41,Equate Food Dairy Item 0041,1,Grocery,Dairy,Equate Food,V4899,346316204099,149.93,183.04,32.54,3.908,True,False,False,22,2,24,3,20,Active
42,Sam's Choice Snacks Item 0042,1,Grocery,Snacks,Sam's Choice,V1892,870796451736,134.06,191.11,12.89,1.851,True,True,False,65,2,31,6,19,Active
43,Marketside Beverages Item 0043,1,Grocery,Beverages,Marketside,V2624,890022600581,135.63,214.74,10.0,2.965,True,True,False,131,1,56,12,20,Active
44,Store Brand Dairy Item 0044,1,Grocery,Dairy,Store Brand,V2517,654346948105,69.77,95.68,32.41,0.073,True,False,False,257,1,39,14,21,Active
45,Equate Food Bakery Item 0045,1,Grocery,Bakery,Equate Food,V4954,399146436761,87.38,130.5,30.83,4.599,True,False,False,245,4,64,21,9,Active
