ecomm_sale_id,week_start_date,item_id,fulfillment_center_id,channel,fulfillment_type,units_sold,units_returned,net_units,gross_sales,net_sales,cogs,gross_margin,shipping_revenue,shipping_cost,num_orders,avg_order_value
1,2024-01-07,938,,Website,Curbside Pickup,7,0,7,1373.96,1373.96,890.12,483.84,0.0,0.0,3,457.99
2,2024-01-07,816,,Website,Curbside Pickup,1,0,1,81.87,81.87,64.43,17.44,0.0,0.0,1,81.87
3,2024-01-07,98,,Website,Same-Day Delivery,7,0,7,75.46,75.46,56.0,19.46,0.0,0.0,3,18.86
4,2024-01-07,895,,Website,Same-Day Delivery,3,0,3,379.77,379.77,313.77,66.0,0.0,0.0,1,189.88
5,2024-01-07,607,,App,Same-Day Delivery,3,0,3,734.94,734.94,597.21,137.73,0.0,0.0,1,244.98
6,2024-01-07,572,,App,Same-Day Delivery,4,0,4,993.92,993.92,696.2,297.72,0.0,0.0,2,993.92
7,2024-01-07,800,,App,Curbside Pickup,5,0,5,1171.5,1171.5,746.25,425.25,0.0,0.0,1,1171.5
8,2024-01-07,726,,Website,Curbside Pickup,4,0,4,127.08,127.08,84.72,42.36,0.0,0.0,1,127.08
9,2024-01-07,122,FC004,App,Ship to Home,6,0,6,764.1,764.1,612.0,152.1,23.34,35.01,2,152.82
10,2024-01-07,410,,App,Same-Day Delivery,5,0,5,726.3,726.3,533.9,192.4,0.0,0.0,1,181.57
11,2024-01-07,459,,Website,Same-Day Delivery,3,0,3,281.01,281.01,176.97,104.04,0.0,0.0,1,93.67
12,2024-01-07,39,,App,Same-Day Delivery,4,0,4,33.56,33.56,25.16,8.4,0.0,0.0,1,33.56
13,2024-01-07,991,FC001,Website,Ship to Home,3,0,3,343.59,343.59,247.65,95.94,17.85,26.78,1,171.79
14,2024-01-07,602,,Website,Curbside Pickup,7,0,7,923.16,923.16,727.65,195.51,0.0,0.0,1,230.79
15,2024-01-07,440,FC001,App,Ship to Home,2,0,2,72.5,72.5,49.2,23.3,11.48,17.22,1,36.25
16,2024-01-07,339,,Website,Same-Day Delivery,6,0,6,269.82,269.82,223.14,46.68,0.0,0.0,1,134.91
17,2024-01-07,63,,Website,Store Pickup,5,0,5,1311.05,1311.05,934.4,376.65,0.0,0.0,1,1311.05
18,2024-01-07,333,,Website,Curbside Pickup,3,0,3,866.34,866.34,587.58,278.76,0.0,0.0,1,866.34
19,2024-01-07,51,,Website,Store Pickup,7,0,7,176.89,176.89,146.79,30.1,0.0,0.0,2,176.89
20,2024-01-07,151,,Website,Store Pickup,7,0,7,212.59,212.59,165.83,46.76,0.0,0.0,2,35.43
21,2024-01-07,994,,Website,Same-Day Delivery,4,0,4,468.6,468.6,328.92,139.68,0.0,0.0,2,234.3
22,2024-01-07,47,,App,Curbside Pickup,5,0,5,1303.7,1303.7,880.6,423.1,0.0,0.0,2,325.93
23,2024-01-07,952,,Website,Store Pickup,4,0,4,798.68,798.68,560.8,237.88,0.0,0.0,1,199.67
24,2024-01-07,728,FC006,Website,Ship to Home,7,0,7,620.06,620.06,399.56,220.5,19.11,28.66,3,103.34
25,2024-01-07,506,,App,Curbside Pickup,3,0,3,33.39,33.39,22.32,11.07,0.0,0.0,1,33.39
26,2024-01-07,536,FC009,App,Ship to Home,1,0,1,144.92,144.92,110.87,34.05,1.47,2.21,1,144.92
27,2024-01-07,759,,Website,Store Pickup,10,0,10,10.8,10.8,7.0,3.8,0.0,0.0,4,1.35
28,2024-01-07,193,,App,Store Pickup,5,0,5,855.25,855.25,566.75,288.5,0.0,0.0,2,213.81
29,2024-01-07,587,,Website,Store Pickup,1,0,1,43.65,43.65,36.12,7.53,0.0,0.0,1,43.65
30,2024-01-07,311,FC003,Website,Ship to Home,3,0,3,161.37,161.37,127.62,33.75,14.76,22.14,1,53.79
31,2024-01-07,183,FC008,App,Ship to Home,5,0,5,1446.95,1446.95,983.65,463.3,20.6,30.9,1,723.48
32,2024-01-07,929,FC001,App,Ship to Home,7,0,7,1696.38,1696.38,1199.1,497.28,27.3,40.95,1,242.34
33,2024-01-07,107,,Website,Store Pickup,7,0,7,1566.53,1566.53,1192.17,374.36,0.0,0.0,3,261.09
34,2024-01-07,322,,App,Same-Day Delivery,6,0,6,676.74,676.74,528.42,148.32,0.0,0.0,3,338.37
35,2024-01-07,249,FC003,Website,Ship to Home,4,0,4,261.08,261.08,170.68,90.4,29.8,44.7,1,130.54
36,2024-01-07,733,,Website,Same-Day Delivery,6,0,6,1628.28,1628.28,1122.18,506.1,0.0,0.0,1,407.07
37,2024-01-07,78,,App,Store Pickup,2,0,2,388.62,388.62,246.64,141.98,0.0,0.0,1,194.31
38,2024-01-07,461,,Website,Same-Day Delivery,4,0,4,815.52,815.52,631.84,183.68,0.0,0.0,1,271.84
39,2024-01-07,863,,Website,Same-Day Delivery,4,0,4,53.48,53.48,34.04,19.44,0.0,0.0,1,26.74
40,2024-01-07,268,,App,Curbside Pickup,7,0,7,686.56,686.56,503.37,183.19,0.0,0.0,2,343.28
41,2024-01-07,609,,Website,Store Pickup,4,0,4,781.8,781.8,526.32,255.48,0.0,0.0,2,195.45
42,2024-01-07,25,,App,Store Pickup,8,0,8,1847.36,1847.36,1438.72,408.64,0.0,0.0,3,307.89
43,2024-01-07,727,,App,Same-Day Delivery,8,0,8,782.56,782.56,612.24,170.32,0.0,0.0,4,97.82
44,2024-01-07,610,,App,Same-Day Delivery,5,0,5,120.3,120.3,79.9,40.4,0.0,0.0,2,120.3
45,2024-01-07,754,,Website,Curbside Pickup,8,0,8,994.88,994.88,814.64,180.24,0.0,0.0,2,248.72
46,2024-01-07,745,,Website,Store Pickup,6,0,6,866.22,866.22,565.44,300.78,0.0,0.0,2,173.24
47,2024-01-07,132,,App,Same-Day Delivery,8,0,8,918.8,918.8,643.36,275.44,0.0,0.0,2,131.26
48,2024-01-07,553,,App,Same-Day Delivery,5,0,5,1207.15,1207.15,779.4,427.75,0.0,0.0,2,301.79
49,2024-01-07,230,FC003,App,Ship to Home,6,0,6,1410.84,1410.84,1101.72,309.12,11.22,16.83,2,352.71
50,2024-01-07,60,,Website,Same-Day Delivery,4,0,4,602.4,602.4,415.72,186.68,0.0,0.0,2,301.2
51,2024-01-07,558,,App,Same-Day Delivery,6,0,6,637.92,637.92,493.32,144.6,0.0,0.0,2,212.64
52,2024-01-07,992,,App,Curbside Pickup,7,0,7,52.5,52.5,33.46,19.04,0.0,0.0,1,17.5
53,2024-01-07,283,,Website,Same-Day Delivery,3,0,3,121.35,121.35,84.21,37.14,0.0,0.0,1,40.45
54,2024-01-07,570,FC002,App,Ship to Home,5,0,5,270.15,270.15,179.25,90.9,31.349999999999998,47.02,2,67.54
55,2024-01-07,793,FC003,Website,Ship to Home,9,0,9,400.23,400.23,328.77,71.46,58.32000000000001,87.48,1,50.03
56,2024-01-07,476,FC001,App,Ship to Home,4,0,4,873.28,873.28,552.36,320.92,21.92,32.88,2,436.64
57,2024-01-07,226,,App,Curbside Pickup,7,0,7,2095.52,2095.52,1385.23,710.29,0.0,0.0,3,419.1
58,2024-01-07,358,,Website,Curbside Pickup,8,0,8,1385.6,1385.6,1149.68,235.92,0.0,0.0,4,197.94
59,2024-01-07,969,FC001,Website,Ship to Home,3,0,3,338.34,338.34,215.97,122.37,5.37,8.05,1,112.78
