pricing_id,item_id,store_id,effective_date,end_date,regular_price,sale_price,clearance_price,price_type,competitor_price,price_index
1,1,,2024-01-01,2024-03-03,192.67,192.67,,Regular,191.4,0.955
2,1,,2024-03-04,2024-04-12,192.67,172.65,,Rollback,210.74,1.06
3,1,,2024-04-13,2024-06-23,192.67,144.96,96.33,Clearance,209.49,1.036
4,1,,2024-06-24,2024-08-15,192.67,192.67,,Regular,180.26,1.096
5,1,,2024-08-16,2024-10-25,192.67,192.67,,Regular,192.63,1.051
6,1,,2024-10-26,2024-12-26,192.67,160.72,96.33,Clearance,193.43,0.892
7,1,,2024-12-27,2024-12-31,192.67,138.59,96.33,Clearance,187.63,0.893
8,2,,2024-01-01,2024-03-14,167.18,121.75,83.59,Clearance,186.91,0.899
9,2,,2024-03-15,2024-05-05,167.18,167.18,,Regular,171.88,0.995
10,2,,2024-05-06,2024-07-20,167.18,167.18,,Regular,164.32,0.954
11,2,,2024-07-21,2024-10-07,167.18,167.18,,Regular,191.93,0.915
12,2,,2024-10-08,2024-12-31,167.18,167.18,,Regular,151.49,0.932
13,3,,2024-01-01,2024-03-21,28.24,28.24,,Regular,28.58,0.96
14,3,,2024-03-22,2024-06-02,28.24,28.24,,Regular,27.72,0.968
15,3,,2024-06-03,2024-08-22,28.24,28.24,,Regular,31.65,1.062
16,3,,2024-08-23,2024-10-31,28.24,26.57,,Rollback,30.92,1.055
17,3,,2024-11-01,2024-12-31,28.24,28.24,,Regular,32.47,0.917
18,4,,2024-01-01,2024-03-03,171.42,171.42,,Regular,184.89,1.056
19,4,,2024-03-04,2024-04-21,171.42,171.42,,Regular,186.94,0.927
20,4,,2024-04-22,2024-06-24,171.42,171.42,,Regular,163.72,0.891
21,4,,2024-06-25,2024-07-10,171.42,154.51,,EDLP,178.68,0.98
22,4,,2024-07-11,2024-08-13,171.42,171.42,,Regular,178.63,1.118
23,4,,2024-08-14,2024-09-23,171.42,171.42,,Regular,157.12,1.086
24,4,,2024-09-24,2024-11-10,171.42,129.12,,Rollback,163.67,1.1
25,4,,2024-11-11,2024-12-16,171.42,141.7,85.71,Clearance,157.71,0.99
26,4,,2024-12-17,2024-12-31,171.42,120.87,,Rollback,190.73,1.109
27,5,,2024-01-01,2024-02-17,104.79,104.79,,Regular,108.67,1.096
