plan_id,store_id,item_id,category_id,department,effective_date,end_date,aisle,shelf_number,shelf_position,facing_count,shelf_capacity,min_display_qty,is_key_item,is_seasonal_slot,planogram_version
1,1,508,6,Pharmacy,2024-10-01,2024-12-31,A29,2,20,2,20,3,False,False,v3
2,1,819,9,Health & Beauty,2024-10-01,2024-12-31,A13,2,15,4,18,7,False,False,v5
3,1,453,5,Sporting Goods,2024-07-01,2024-12-31,A03,5,16,2,19,9,False,False,v5
4,1,369,4,Home & Garden,2024-01-01,2024-12-31,A18,2,1,1,24,4,False,False,v5
5,1,243,3,Apparel,2024-07-01,2024-12-31,A01,5,6,3,33,7,False,False,v2
6,1,930,10,Office Supplies,2024-04-01,2024-12-31,A23,6,14,2,16,6,False,False,v1
7,1,263,3,Apparel,2024-04-01,2024-12-31,A03,5,9,2,6,3,False,False,v3
8,1,811,9,Health & Beauty,2024-04-01,2024-12-31,A23,4,5,3,35,11,False,False,v2
9,1,319,4,Home & Garden,2024-04-01,2024-12-31,A22,6,8,1,46,10,True,False,v1
10,1,50,1,Grocery,2024-07-01,2024-12-31,A24,6,18,1,15,4,False,False,v3
11,1,447,5,Sporting Goods,2024-07-01,2024-12-31,A04,5,17,2,10,10,False,False,v4
12,1,143,2,Electronics,2024-01-01,2024-12-31,A16,5,6,4,37,5,False,False,v2
13,1,969,10,Office Supplies,2024-04-01,2024-12-31,A03,5,15,3,35,11,False,False,v3
14,1,346,4,Home & Garden,2024-01-01,2024-12-31,A22,5,19,3,39,12,False,True,v4
15,1,972,10,Office Supplies,2024-01-01,2024-12-31,A27,4,16,3,40,9,True,False,v4
16,1,134,2,Electronics,2024-10-01,2024-12-31,A14,3,3,4,43,3,True,False,v2
17,1,105,2,Electronics,2024-10-01,2024-12-31,A24,6,20,4,43,3,False,False,v2
18,1,7,1,Grocery,2024-04-01,2024-12-31,A21,1,14,4,35,9,False,False,v5
19,1,601,7,Automotive,2024-01-01,2024-12-31,A28,6,20,2,8,3,False,False,v5
20,1,497,5,Sporting Goods,2024-01-01,2024-12-31,A25,2,10,4,33,8,False,False,v1
21,1,703,8,Toys,2024-07-01,2024-12-31,A13,3,19,4,37,4,False,False,v2
22,1,473,5,Sporting Goods,2024-07-01,2024-12-31,A20,6,4,2,32,9,False,False,v1
23,1,599,6,Pharmacy,2024-01-01,2024-12-31,A24,2,17,4,42,12,False,False,v4
24,1,503,6,Pharmacy,2024-01-01,2024-12-31,A11,5,17,3,47,7,False,False,v5
25,1,434,5,Sporting Goods,2024-07-01,2024-12-31,A23,2,15,2,8,3,False,False,v3
26,1,120,2,Electronics,2024-04-01,2024-12-31,A20,2,7,1,22,3,True,False,v1
27,1,109,2,Electronics,2024-01-01,2024-12-31,A11,1,14,1,37,7,True,False,v1
28,1,648,7,Automotive,2024-04-01,2024-12-31,A01,6,15,1,27,2,False,False,v3
29,1,590,6,Pharmacy,2024-07-01,2024-12-31,A16,1,15,1,12,5,True,False,v5
30,1,375,4,Home & Garden,2024-04-01,2024-12-31,A14,6,20,3,32,7,False,False,v5
31,1,911,10,Office Supplies,2024-04-01,2024-12-31,A26,3,11,1,25,4,False,False,v5
32,1,719,8,Toys,2024-10-01,2024-12-31,A08,4,10,3,39,2,False,False,v2
33,1,745,8,Toys,2024-10-01,2024-12-31,A28,1,5,2,22,12,True,False,v2
34,1,495,5,Sporting Goods,2024-07-01,2024-12-31,A28,1,18,4,8,8,False,False,v4
35,1,405,5,Sporting Goods,2024-01-01,2024-12-31,A10,6,4,3,30,4,False,False,v1
36,1,275,3,Apparel,2024-10-01,2024-12-31,A13,3,16,3,44,7,False,True,v5
37,1,79,1,Grocery,2024-07-01,2024-12-31,A08,5,18,2,42,12,False,False,v3
38,1,722,8,Toys,2024-10-01,2024-12-31,A14,4,20,2,31,2,True,False,v5
39,1,645,7,Automotive,2024-07-01,2024-12-31,A16,2,10,4,43,10,True,False,v3
40,1,615,7,Automotive,2024-10-01,2024-12-31,A05,1,10,4,22,6,True,True,v3
41,1,873,9,Health & Beauty,2024-10-01,2024-12-31,A13,1,2,4,36,11,False,False,v3
42,1,692,7,Automotive,2024-01-01,2024-12-31,A25,3,15,1,19,12,False,False,v1
43,1,91,1,Grocery,2024-01-01,2024-12-31,A29,6,7,1,12,7,False,False,v2
44,1,102,2,Electronics,2024-07-01,2024-12-31,A27,6,17,3,28,11,False,False,v1
45,1,95,1,Grocery,2024-01-01,2024-12-31,A15,5,2,3,7,6,False,False,v2
46,1,578,6,Pharmacy,2024-07-01,2024-12-31,A15,4,11,2,23,9,False,False,v5
