forecast_id,forecast_date,store_id,item_id,dc_id,forecast_week,forecast_units,forecast_cases,ci_low,ci_high,actual_units,forecast_bias,mape,model_version
1,2024-01-07,28,867,DC021,1,26,2,20,31,23,-3,13.04,v2.3
2,2024-01-07,28,370,DC007,1,20,1,16,24,23,3,13.04,v2.1
3,2024-01-07,28,602,DC008,1,21,1,16,25,19,-2,10.53,v1.7
4,2024-01-07,28,670,DC008,1,11,1,8,13,8,-3,37.5,v2.1
5,2024-01-07,28,404,DC025,1,22,1,17,26,22,0,0.0,v2.5
6,2024-01-07,28,49,DC020,1,19,1,15,22,15,-4,26.67,v3.9
7,2024-01-07,28,952,DC023,1,21,1,16,25,25,4,16.0,v1.1
8,2024-01-07,28,693,DC012,1,13,1,10,15,10,-3,30.0,v2.8
9,2024-01-07,28,783,DC010,1,21,1,16,25,23,2,8.7,v1.1
10,2024-01-07,28,459,DC015,1,20,1,16,24,16,-4,25.0,v1.4
11,2024-01-07,28,116,DC016,1,18,1,14,21,16,-2,12.5,v1.9
12,2024-01-07,28,236,DC007,1,18,1,14,21,16,-2,12.5,v3.0
13,2024-01-07,28,124,DC017,1,13,1,10,15,11,-2,18.18,v3.7
14,2024-01-07,28,82,DC019,1,19,1,15,22,19,0,0.0,v1.9
15,2024-01-07,28,342,DC017,1,18,1,14,21,16,-2,12.5,v2.1
16,2024-01-07,28,20,DC005,1,6,1,4,7,5,-1,20.0,v1.1
17,2024-01-07,28,624,DC014,1,27,2,21,32,24,-3,12.5,v3.2
18,2024-01-07,28,986,DC002,1,14,1,11,16,11,-3,27.27,v1.8
19,2024-01-07,28,262,DC008,1,18,1,14,21,20,2,10.0,v3.9
20,2024-01-07,28,807,DC022,1,16,1,12,19,17,1,5.88,v1.9
21,2024-01-07,28,222,DC007,1,19,1,15,22,18,-1,5.56,v3.4
22,2024-01-07,28,122,DC012,1,14,1,11,16,15,1,6.67,v1.3
23,2024-01-07,28,327,DC025,1,27,2,21,32,26,-1,3.85,v2.4
24,2024-01-07,28,368,DC023,1,25,2,20,30,23,-2,8.7,v3.8
25,2024-01-07,28,775,DC021,1,13,1,10,15,11,-2,18.18,v1.6
26,2024-01-07,28,545,DC013,1,18,1,14,21,20,2,10.0,v1.5
27,2024-01-07,28,970,DC017,1,21,1,16,25,24,3,12.5,v3.9
28,2024-01-07,28,563,DC004,1,15,1,12,18,17,2,11.76,v2.1
29,2024-01-07,28,840,DC013,1,22,1,17,26,22,0,0.0,v3.5
30,2024-01-07,28,65,DC016,1,24,2,19,28,22,-2,9.09,v3.0
31,2024-01-07,28,732,DC012,1,14,1,11,16,16,2,12.5,v2.5
32,2024-01-07,28,787,DC004,1,19,1,15,22,19,0,0.0,v1.7
33,2024-01-07,28,499,DC009,1,23,1,18,27,26,3,11.54,v2.2
34,2024-01-07,28,191,DC017,1,23,1,18,27,21,-2,9.52,v3.1
35,2024-01-07,28,471,DC015,1,13,1,10,15,15,2,13.33,v3.3
36,2024-01-07,28,352,DC009,1,26,2,20,31,21,-5,23.81,v3.7
37,2024-01-07,28,52,DC020,1,14,1,11,16,14,0,0.0,v2.4
38,2024-01-07,28,326,DC025,1,21,1,16,25,24,3,12.5,v2.3
39,2024-01-07,28,296,DC018,1,22,1,17,26,22,0,0.0,v2.3
40,2024-01-07,28,525,DC022,1,22,1,17,26,18,-4,22.22,v2.9
41,2024-01-07,28,553,DC002,1,13,1,10,15,13,0,0.0,v1.1
42,2024-01-07,28,723,DC024,1,24,2,19,28,28,4,14.29,v1.1
43,2024-01-07,28,530,DC025,1,16,1,12,19,16,0,0.0,v2.0
44,2024-01-07,28,740,DC002,1,31,2,24,37,34,3,8.82,v2.5
45,2024-01-07,28,70,DC005,1,17,1,13,20,17,0,0.0,v1.2
46,2024-01-07,28,919,DC005,1,18,1,14,21,14,-4,28.57,v1.7
47,2024-01-07,28,308,DC012,1,24,2,19,28,24,0,0.0,v1.8
48,2024-01-07,28,377,DC006,1,16,1,12,19,14,-2,14.29,v2.3
49,2024-01-07,28,702,DC014,1,17,1,13,20,15,-2,13.33,v2.8
50,2024-01-07,28,659,DC024,1,21,1,16,25,20,-1,5.0,v2.7
51,2024-01-07,8,867,DC012,1,12,1,9,14,11,-1,9.09,v1.5
52,2024-01-07,8,370,DC009,1,18,1,14,21,20,2,10.0,v3.4
53,2024-01-07,8,602,DC007,1,25,2,20,30,26,1,3.85,v1.5
54,2024-01-07,8,670,DC019,1,18,1,14,21,20,2,10.0,v3.6
55,2024-01-07,8,404,DC019,1,21,1,16,25,21,0,0.0,v2.7
56,2024-01-07,8,49,DC022,1,14,1,11,16,12,-2,16.67,v1.3
57,2024-01-07,8,952,DC022,1,21,1,16,25,17,-4,23.53,v3.2
58,2024-01-07,8,693,DC022,1,23,1,18,27,19,-4,21.05,v1.3
59,2024-01-07,8,783,DC019,1,19,1,15,22,21,2,9.52,v3.0
60,2024-01-07,8,459,DC017,1,20,1,16,24,23,3,13.04,v1.8
61,2024-01-07,8,116,DC007,1,24,2,19,28,23,-1,4.35,v1.4
62,2024-01-07,8,236,DC009,1,22,1,17,26,20,-2,10.0,v1.4
63,2024-01-07,8,124,DC011,1,22,1,17,26,24,2,8.33,v1.0
64,2024-01-07,8,82,DC011,1,31,2,24,37,24,-7,29.17,v2.4
65,2024-01-07,8,342,DC011,1,20,1,16,24,22,2,9.09,v3.9
66,2024-01-07,8,20,DC004,1,18,1,14,21,16,-2,12.5,v3.2
67,2024-01-07,8,624,DC022,1,21,1,16,25,24,3,12.5,v3.1
68,2024-01-07,8,986,DC015,1,15,1,12,18,17,2,11.76,v3.9
69,2024-01-07,8,262,DC021,1,17,1,13,20,19,2,10.53,v1.3
70,2024-01-07,8,807,DC002,1,16,1,12,19,15,-1,6.67,v2.4
71,2024-01-07,8,222,DC009,1,23,1,18,27,26,3,11.54,v3.7
72,2024-01-07,8,122,DC016,1,16,1,12,19,17,1,5.88,v3.7
73,2024-01-07,8,327,DC009,1,21,1,16,25,21,0,0.0,v3.4
74,2024-01-07,8,368,DC018,1,19,1,15,22,16,-3,18.75,v3.1
75,2024-01-07,8,775,DC004,1,25,2,20,30,20,-5,25.0,v3.8
76,2024-01-07,8,545,DC018,1,21,1,16,25,24,3,12.5,v1.2
77,2024-01-07,8,970,DC015,1,15,1,12,18,15,0,0.0,v1.0
78,2024-01-07,8,563,DC014,1,17,1,13,20,18,1,5.56,v3.0
