otif_id,po_number,vendor_id,dc_id,order_date,expected_delivery_date,actual_delivery_date,expected_units,received_units,on_time_flag,in_full_flag,otif_flag,days_early_late,short_units,fill_rate_pct,otif_score
1,PO00000003,V2022,DC006,2024-07-31,2024-08-13,2024-08-12,889,889,True,True,True,1,0,100.0,100.0
2,PO00000006,V4788,DC007,2024-08-10,2024-08-24,2024-08-28,1073,1073,False,True,False,-4,0,100.0,50.0
3,PO00000007,V4831,DC007,2024-10-30,2024-11-09,2024-11-10,227,198,False,False,False,-1,29,87.22,0.0
4,PO00000008,V3127,DC005,2024-11-14,2024-12-01,2024-12-02,313,313,False,True,False,-1,0,100.0,50.0
5,PO00000011,V1176,DC019,2024-05-08,2024-05-11,2024-05-11,198,198,True,True,True,0,0,100.0,100.0
6,PO00000012,V4089,DC013,2024-12-18,2024-12-30,2024-12-29,1431,1431,True,True,True,1,0,100.0,100.0
7,PO00000013,V1865,DC003,2024-03-10,2024-03-30,2024-03-30,1196,1196,True,True,True,0,0,100.0,100.0
8,PO00000014,V3873,DC017,2024-02-16,2024-02-20,2024-02-19,1313,1313,True,True,True,1,0,100.0,100.0
9,PO00000016,V2797,DC007,2024-04-20,2024-04-27,2024-05-03,856,856,False,True,False,-6,0,100.0,50.0
10,PO00000017,V3122,DC015,2024-11-30,2024-12-10,2024-12-10,908,908,True,True,True,0,0,100.0,100.0
11,PO00000018,V3235,DC013,2024-02-27,2024-03-07,2024-03-06,21,21,True,True,True,1,0,100.0,100.0
12,PO00000019,V2164,DC019,2024-10-07,2024-10-24,2024-10-23,1026,1026,True,True,True,1,0,100.0,100.0
13,PO00000020,V4045,DC006,2024-12-05,2024-12-08,2024-12-07,1339,1339,True,True,True,1,0,100.0,100.0
14,PO00000022,V4034,DC005,2024-02-24,2024-03-01,2024-02-29,371,371,True,True,True,1,0,100.0,100.0
15,PO00000023,V2270,DC020,2024-05-20,2024-06-03,2024-06-03,381,359,True,False,False,0,22,94.23,50.0
16,PO00000024,V3370,DC009,2024-12-12,2024-12-28,2025-01-03,112,112,False,True,False,-6,0,100.0,50.0
17,PO00000027,V4774,DC009,2024-07-22,2024-07-30,2024-07-29,922,922,True,True,True,1,0,100.0,100.0
18,PO00000028,V3194,DC023,2024-12-27,2025-01-05,2025-01-06,501,501,False,True,False,-1,0,100.0,50.0
19,PO00000029,V4624,DC005,2024-06-21,2024-07-04,2024-07-03,774,774,True,True,True,1,0,100.0,100.0
20,PO00000031,V1323,DC011,2024-06-26,2024-07-13,2024-07-12,1016,1016,True,True,True,1,0,100.0,100.0
21,PO00000033,V2083,DC013,2024-04-18,2024-04-29,2024-05-06,874,874,False,True,False,-7,0,100.0,50.0
22,PO00000034,V1795,DC015,2024-10-11,2024-10-31,2024-11-01,710,710,False,True,False,-1,0,100.0,50.0
23,PO00000035,V4002,DC013,2024-04-07,2024-04-28,2024-04-28,543,543,True,True,True,0,0,100.0,100.0
24,PO00000039,V4361,DC015,2024-06-06,2024-06-19,2024-06-21,1265,1265,False,True,False,-2,0,100.0,50.0
25,PO00000041,V2356,DC006,2024-12-22,2025-01-08,2025-01-07,350,350,True,True,True,1,0,100.0,100.0
26,PO00000042,V4178,DC015,2024-07-31,2024-08-15,2024-08-22,745,745,False,True,False,-7,0,100.0,50.0
27,PO00000043,V3287,DC010,2024-12-24,2024-12-31,2025-01-03,282,282,False,True,False,-3,0,100.0,50.0
28,PO00000044,V4687,DC016,2024-12-29,2025-01-09,2025-01-16,615,615,False,True,False,-7,0,100.0,50.0
29,PO00000045,V3401,DC016,2024-01-04,2024-01-17,2024-01-17,69,69,True,True,True,0,0,100.0,100.0
30,PO00000047,V1321,DC006,2024-10-02,2024-10-05,2024-10-05,779,779,True,True,True,0,0,100.0,100.0
31,PO00000048,V3127,DC023,2024-10-10,2024-10-26,2024-10-26,1319,1319,True,True,True,0,0,100.0,100.0
32,PO00000049,V2250,DC018,2024-02-06,2024-02-20,2024-02-20,1139,1139,True,True,True,0,0,100.0,100.0
33,PO00000051,V2736,DC024,2024-01-02,2024-01-09,2024-01-08,1126,1126,True,True,True,1,0,100.0,100.0
34,PO00000052,V4509,DC017,2024-12-26,2025-01-08,2025-01-08,1184,1184,True,True,True,0,0,100.0,100.0
35,PO00000054,V2391,DC008,2024-06-23,2024-07-05,2024-07-06,502,502,False,True,False,-1,0,100.0,50.0
36,PO00000056,V4235,DC012,2024-08-21,2024-08-29,2024-08-29,96,96,True,True,True,0,0,100.0,100.0
37,PO00000060,V2991,DC025,2024-02-08,2024-02-21,2024-02-23,803,803,False,True,False,-2,0,100.0,50.0
38,PO00000061,V2818,DC003,2024-03-28,2024-04-04,2024-04-04,550,550,True,True,True,0,0,100.0,100.0
39,PO00000064,V2328,DC011,2024-02-24,2024-03-03,2024-03-02,307,307,True,True,True,1,0,100.0,100.0
40,PO00000065,V3451,DC018,2024-05-01,2024-05-22,2024-05-21,414,401,True,False,False,1,13,96.86,50.0
41,PO00000067,V4360,DC009,2024-12-16,2024-12-29,2025-01-03,1017,847,False,False,False,-5,170,83.28,0.0
42,PO00000068,V1646,DC024,2024-08-25,2024-09-02,2024-09-01,203,203,True,True,True,1,0,100.0,100.0
43,PO00000069,V4797,DC010,2024-05-23,2024-06-06,2024-06-05,470,470,True,True,True,1,0,100.0,100.0
44,PO00000070,V3508,DC019,2024-09-18,2024-09-29,2024-09-30,355,355,False,True,False,-1,0,100.0,50.0
45,PO00000071,V2013,DC016,2024-10-17,2024-10-30,2024-11-02,956,956,False,True,False,-3,0,100.0,50.0
46,PO00000073,V3951,DC019,2024-01-13,2024-02-03,2024-02-05,1363,1363,False,True,False,-2,0,100.0,50.0
47,PO00000076,V1135,DC016,2024-03-27,2024-04-10,2024-04-10,334,321,True,False,False,0,13,96.11,50.0
48,PO00000077,V3938,DC020,2024-11-02,2024-11-06,2024-11-06,168,168,True,True,True,0,0,100.0,100.0
49,PO00000078,V4436,DC013,2024-01-08,2024-01-12,2024-01-15,381,381,False,True,False,-3,0,100.0,50.0
50,PO00000079,V4717,DC009,2024-12-04,2024-12-08,2024-12-10,367,367,False,True,False,-2,0,100.0,50.0
51,PO00000081,V3587,DC003,2024-06-30,2024-07-12,2024-07-11,1185,1185,True,True,True,1,0,100.0,100.0
52,PO00000083,V1771,DC004,2024-09-05,2024-09-16,2024-09-15,701,701,True,True,True,1,0,100.0,100.0
53,PO00000084,V3567,DC015,2024-09-27,2024-10-11,2024-10-11,320,320,True,True,True,0,0,100.0,100.0
54,PO00000085,V3983,DC019,2024-06-17,2024-06-24,2024-06-23,1033,1033,True,True,True,1,0,100.0,100.0
55,PO00000087,V1799,DC012,2024-04-06,2024-04-19,2024-04-19,241,241,True,True,True,0,0,100.0,100.0
56,PO00000088,V2547,DC001,2024-07-23,2024-08-09,2024-08-11,44,44,False,True,False,-2,0,100.0,50.0
57,PO00000090,V2949,DC008,2024-06-12,2024-06-26,2024-06-30,327,286,False,False,False,-4,41,87.46,0.0
58,PO00000091,V3411,DC011,2024-03-07,2024-03-12,2024-03-12,675,675,True,True,True,0,0,100.0,100.0
59,PO00000094,V4272,DC009,2024-07-10,2024-07-28,2024-07-29,845,845,False,True,False,-1,0,100.0,50.0
60,PO00000095,V2011,DC013,2024-08-13,2024-08-18,2024-08-20,338,338,False,True,False,-2,0,100.0,50.0
61,PO00000097,V2217,DC020,2024-10-14,2024-10-22,2024-10-21,1113,1113,True,True,True,1,0,100.0,100.0
62,PO00000098,V3150,DC009,2024-03-08,2024-03-23,2024-03-22,1343,1343,True,True,True,1,0,100.0,100.0
63,PO00000099,V4440,DC013,2024-12-16,2024-12-20,2024-12-20,967,967,True,True,True,0,0,100.0,100.0
64,PO00000101,V4301,DC014,2024-08-24,2024-08-29,2024-08-28,236,236,True,True,True,1,0,100.0,100.0
65,PO00000102,V1919,DC003,2024-02-22,2024-03-08,2024-03-08,1282,1282,True,True,True,0,0,100.0,100.0
66,PO00000103,V3122,DC006,2024-12-07,2024-12-27,2024-12-27,1085,1085,True,True,True,0,0,100.0,100.0
67,PO00000104,V2953,DC022,2024-03-03,2024-03-14,2024-03-14,309,309,True,True,True,0,0,100.0,100.0
68,PO00000105,V4300,DC020,2024-08-19,2024-08-31,2024-09-02,781,781,False,True,False,-2,0,100.0,50.0
69,PO00000106,V3916,DC005,2024-03-25,2024-04-04,2024-04-03,279,279,True,True,True,1,0,100.0,100.0
70,PO00000107,V3646,DC024,2024-06-28,2024-07-08,2024-07-14,844,844,False,True,False,-6,0,100.0,50.0
71,PO00000108,V2945,DC002,2024-10-12,2024-10-28,2024-10-28,194,194,True,True,True,0,0,100.0,100.0
72,PO00000110,V3044,DC001,2024-05-12,2024-05-23,2024-05-27,346,346,False,True,False,-4,0,100.0,50.0
73,PO00000111,V2328,DC022,2024-03-16,2024-03-31,2024-03-31,81,81,True,True,True,0,0,100.0,100.0
74,PO00000115,V3714,DC006,2024-07-18,2024-08-02,2024-08-01,690,630,True,False,False,1,60,91.3,50.0
75,PO00000117,V4342,DC005,2024-04-12,2024-04-29,2024-04-30,1056,1056,False,True,False,-1,0,100.0,50.0
