po_id,po_number,vendor_id,dc_id,item_id,order_date,expected_delivery_date,po_status,po_type,ordered_units,ordered_cases,unit_cost,total_cost,payment_terms
1,PO00000001,V2518,DC006,321,2024-08-05,2024-08-18,Open,Rush,807,67,18.08,14590.56,2/10 Net 30
2,PO00000002,V1497,DC025,746,2024-05-21,2024-06-06,Cancelled,Regular,236,19,169.81,40075.16,Net 30
3,PO00000003,V2022,DC006,25,2024-07-31,2024-08-13,Received,Cross-Dock,889,74,179.84,159877.76,Net 60
4,PO00000004,V2015,DC013,129,2024-02-21,2024-03-11,Confirmed,Regular,475,39,93.56,44441.0,Net 60
5,PO00000005,V2175,DC023,98,2024-08-06,2024-08-23,Confirmed,Rush,381,31,8.0,3048.0,Net 60
6,PO00000006,V4788,DC007,438,2024-08-10,2024-08-24,Received,Rush,1073,89,30.22,32426.06,2/10 Net 30
7,PO00000007,V4831,DC007,878,2024-10-30,2024-11-09,Shipped,Regular,227,18,114.88,26077.76,Net 30
8,PO00000008,V3127,DC005,761,2024-11-14,2024-12-01,Shipped,Regular,313,26,97.13,30401.69,Net 60
9,PO00000009,V1862,DC025,881,2024-02-24,2024-03-11,Confirmed,Cross-Dock,316,26,92.66,29280.56,Net 30
10,PO00000010,V4401,DC017,113,2024-11-08,2024-11-29,Confirmed,Direct Import,587,48,68.04,39939.48,Net 30
11,PO00000011,V1176,DC019,445,2024-05-08,2024-05-11,Received,Cross-Dock,198,16,35.68,7064.64,2/10 Net 30
12,PO00000012,V4089,DC013,464,2024-12-18,2024-12-30,Shipped,Regular,1431,119,179.25,256506.75,Net 60
13,PO00000013,V1865,DC003,416,2024-03-10,2024-03-30,Received,Regular,1196,99,81.5,97474.0,Net 60
14,PO00000014,V3873,DC017,182,2024-02-16,2024-02-20,Received,Regular,1313,109,7.83,10280.79,2/10 Net 30
15,PO00000015,V1647,DC014,702,2024-06-08,2024-06-14,Open,Direct Import,683,56,95.63,65315.29,2/10 Net 30
16,PO00000016,V2797,DC007,955,2024-04-20,2024-04-27,Received,Regular,856,71,171.58,146872.48,2/10 Net 30
17,PO00000017,V3122,DC015,331,2024-11-30,2024-12-10,Received,Cross-Dock,908,75,91.71,83272.68,Net 45
18,PO00000018,V3235,DC013,440,2024-02-27,2024-03-07,Received,Cross-Dock,21,1,24.6,516.6,Net 60
19,PO00000019,V2164,DC019,51,2024-10-07,2024-10-24,Received,Regular,1026,85,20.97,21515.22,Net 60
20,PO00000020,V4045,DC006,834,2024-12-05,2024-12-08,Received,Regular,1339,111,157.06,210303.34,2/10 Net 30
21,PO00000021,V2196,DC014,542,2024-05-04,2024-05-16,Cancelled,Cross-Dock,1313,109,182.24,239281.12,2/10 Net 30
22,PO00000022,V4034,DC005,249,2024-02-24,2024-03-01,Received,Regular,371,30,42.67,15830.57,2/10 Net 30
23,PO00000023,V2270,DC020,114,2024-05-20,2024-06-03,Received,Regular,381,31,177.22,67520.82,2/10 Net 30
24,PO00000024,V3370,DC009,858,2024-12-12,2024-12-28,Shipped,Regular,112,9,53.28,5967.36,2/10 Net 30
25,PO00000025,V2624,DC017,43,2024-02-09,2024-02-29,Open,Rush,366,30,135.63,49640.58,2/10 Net 30
26,PO00000026,V2247,DC011,414,2024-06-27,2024-07-12,Confirmed,Regular,885,73,114.27,101128.95,2/10 Net 30
27,PO00000027,V4774,DC009,625,2024-07-22,2024-07-30,Received,Regular,922,76,82.05,75650.1,2/10 Net 30
28,PO00000028,V3194,DC023,167,2024-12-27,2025-01-05,Received,Regular,501,41,3.84,1923.84,Net 30
29,PO00000029,V4624,DC005,9,2024-06-21,2024-07-04,Received,Regular,774,64,136.22,105434.28,Net 45
30,PO00000030,V4310,DC011,258,2024-02-28,2024-03-02,Confirmed,Regular,102,8,26.02,2654.04,Net 60
31,PO00000031,V1323,DC011,116,2024-06-26,2024-07-13,Received,Regular,1016,84,160.33,162895.28,Net 45
32,PO00000032,V2538,DC001,633,2024-08-01,2024-08-11,Cancelled,Regular,1186,98,42.61,50535.46,Net 30
33,PO00000033,V2083,DC013,75,2024-04-18,2024-04-29,Shipped,Regular,874,72,18.52,16186.48,2/10 Net 30
34,PO00000034,V1795,DC015,50,2024-10-11,2024-10-31,Received,Regular,710,59,56.96,40441.6,Net 30
35,PO00000035,V4002,DC013,839,2024-04-07,2024-04-28,Received,Regular,543,45,103.13,55999.59,Net 60
36,PO00000036,V4886,DC008,178,2024-05-30,2024-06-04,Open,Regular,694,57,21.84,15156.96,Net 45
37,PO00000037,V3269,DC018,704,2024-07-04,2024-07-21,Cancelled,Regular,891,74,136.14,121300.74,Net 30
38,PO00000038,V2935,DC004,420,2024-02-10,2024-02-17,Open,Regular,547,45,178.04,97387.88,Net 45
39,PO00000039,V4361,DC015,844,2024-06-06,2024-06-19,Received,Regular,1265,105,185.61,234796.65,Net 30
40,PO00000040,V4302,DC013,93,2024-04-19,2024-05-09,Confirmed,Regular,783,65,100.3,78534.9,Net 60
41,PO00000041,V2356,DC006,28,2024-12-22,2025-01-08,Received,Direct Import,350,29,136.06,47621.0,Net 60
42,PO00000042,V4178,DC015,6,2024-07-31,2024-08-15,Received,Cross-Dock,745,62,137.08,102124.6,Net 30
43,PO00000043,V3287,DC010,360,2024-12-24,2024-12-31,Received,Regular,282,23,114.22,32210.04,2/10 Net 30
44,PO00000044,V4687,DC016,972,2024-12-29,2025-01-09,Shipped,Regular,615,51,61.77,37988.55,Net 60
45,PO00000045,V3401,DC016,709,2024-01-04,2024-01-17,Received,Regular,69,5,117.64,8117.16,Net 60
46,PO00000046,V3694,DC011,417,2024-04-20,2024-04-29,Open,Cross-Dock,432,36,29.23,12627.36,2/10 Net 30
47,PO00000047,V1321,DC006,329,2024-10-02,2024-10-05,Shipped,Regular,779,64,155.9,121446.1,Net 60
48,PO00000048,V3127,DC023,761,2024-10-10,2024-10-26,Shipped,Cross-Dock,1319,109,97.13,128114.47,Net 60
49,PO00000049,V2250,DC018,27,2024-02-06,2024-02-20,Shipped,Regular,1139,94,163.41,186123.99,Net 30
50,PO00000050,V1766,DC007,191,2024-10-19,2024-11-02,Open,Rush,352,29,33.79,11894.08,2/10 Net 30
51,PO00000051,V2736,DC024,872,2024-01-02,2024-01-09,Received,Regular,1126,93,22.78,25650.28,Net 60
52,PO00000052,V4509,DC017,484,2024-12-26,2025-01-08,Received,Cross-Dock,1184,98,197.0,233248.0,Net 60
53,PO00000053,V1988,DC009,944,2024-10-28,2024-11-12,Cancelled,Cross-Dock,653,54,191.97,125356.41,Net 60
54,PO00000054,V2391,DC008,964,2024-06-23,2024-07-05,Shipped,Regular,502,41,197.13,98959.26,Net 45
55,PO00000055,V2657,DC023,756,2024-06-29,2024-07-04,Confirmed,Regular,475,39,176.58,83875.5,Net 30
56,PO00000056,V4235,DC012,533,2024-08-21,2024-08-29,Received,Direct Import,96,8,87.44,8394.24,Net 30
