ms_id,fiscal_week,week_start_date,brand_id,brand_name,business_unit,retailer_id,entity_type,dollar_share_pct,unit_share_pct,dollar_sales,category_size_dollars,yoy_share_chg
1,1,2024-01-01,B13,Capri Sun,Beverages,R01,KHC Brand,18.2,16.6,11.59,63.66,0.45
2,1,2024-01-01,B18,Kool-Aid,Beverages,R01,KHC Brand,23.7,22.2,15.09,63.66,0.35
3,1,2024-01-01,,Mott's,Beverages,R01,Competitor,16.6,17.1,10.57,63.66,0.22
4,1,2024-01-01,,Juicy Juice,Beverages,R01,Competitor,12.0,12.7,7.64,63.66,-0.6
5,1,2024-01-01,,Honest Kids,Beverages,R01,Competitor,15.8,16.6,10.06,63.66,-1.92
6,1,2024-01-01,,Private Label,Beverages,R01,Competitor,15.2,14.3,9.68,63.66,0.01
7,1,2024-01-01,B13,Capri Sun,Beverages,R02,KHC Brand,22.6,21.6,10.02,44.36,0.35
8,1,2024-01-01,B18,Kool-Aid,Beverages,R02,KHC Brand,23.8,24.9,10.56,44.36,0.93
9,1,2024-01-01,,Mott's,Beverages,R02,Competitor,12.7,12.4,5.63,44.36,-0.17
10,1,2024-01-01,,Juicy Juice,Beverages,R02,Competitor,13.6,13.4,6.03,44.36,0.28
11,1,2024-01-01,,Honest Kids,Beverages,R02,Competitor,11.6,11.0,5.15,44.36,0.47
12,1,2024-01-01,,Private Label,Beverages,R02,Competitor,12.3,13.5,5.46,44.36,1.45
13,1,2024-01-01,B13,Capri Sun,Beverages,R03,KHC Brand,16.2,16.3,5.08,31.34,-0.61
14,1,2024-01-01,B18,Kool-Aid,Beverages,R03,KHC Brand,21.0,22.3,6.58,31.34,2.37
15,1,2024-01-01,,Mott's,Beverages,R03,Competitor,13.2,12.3,4.14,31.34,0.41
16,1,2024-01-01,,Juicy Juice,Beverages,R03,Competitor,17.2,16.4,5.39,31.34,-0.92
17,1,2024-01-01,,Honest Kids,Beverages,R03,Competitor,17.2,16.5,5.39,31.34,-1.06
18,1,2024-01-01,,Private Label,Beverages,R03,Competitor,14.1,13.7,4.42,31.34,-1.45
19,1,2024-01-01,B13,Capri Sun,Beverages,R04,KHC Brand,19.5,17.6,4.69,24.06,-1.57
20,1,2024-01-01,B18,Kool-Aid,Beverages,R04,KHC Brand,24.6,22.9,5.92,24.06,-0.1
21,1,2024-01-01,,Mott's,Beverages,R04,Competitor,17.5,16.6,4.21,24.06,-0.17
22,1,2024-01-01,,Juicy Juice,Beverages,R04,Competitor,15.7,14.3,3.78,24.06,0.21
23,1,2024-01-01,,Honest Kids,Beverages,R04,Competitor,13.8,14.3,3.32,24.06,0.69
24,1,2024-01-01,,Private Label,Beverages,R04,Competitor,14.7,13.3,3.54,24.06,0.52
25,1,2024-01-01,B13,Capri Sun,Beverages,R05,KHC Brand,17.1,18.5,3.43,20.04,0.42
26,1,2024-01-01,B18,Kool-Aid,Beverages,R05,KHC Brand,25.2,27.0,5.05,20.04,-0.87
27,1,2024-01-01,,Mott's,Beverages,R05,Competitor,14.3,14.1,2.87,20.04,-1.59
28,1,2024-01-01,,Juicy Juice,Beverages,R05,Competitor,11.3,10.7,2.26,20.04,-0.25
29,1,2024-01-01,,Honest Kids,Beverages,R05,Competitor,18.0,17.8,3.61,20.04,1.3
30,1,2024-01-01,,Private Label,Beverages,R05,Competitor,13.8,14.6,2.77,20.04,-0.96
31,1,2024-01-01,B13,Capri Sun,Beverages,R06,KHC Brand,19.9,18.0,3.48,17.47,-1.6
32,1,2024-01-01,B18,Kool-Aid,Beverages,R06,KHC Brand,23.4,21.9,4.09,17.47,-0.6
33,1,2024-01-01,,Mott's,Beverages,R06,Competitor,14.0,13.4,2.45,17.47,0.9
34,1,2024-01-01,,Juicy Juice,Beverages,R06,Competitor,9.0,9.7,1.57,17.47,0.05
35,1,2024-01-01,,Honest Kids,Beverages,R06,Competitor,14.9,15.9,2.6,17.47,-0.25
36,1,2024-01-01,,Private Label,Beverages,R06,Competitor,14.8,14.2,2.59,17.47,0.21
37,1,2024-01-01,B13,Capri Sun,Beverages,R07,KHC Brand,18.7,18.6,3.1,16.55,-1.63
38,1,2024-01-01,B18,Kool-Aid,Beverages,R07,KHC Brand,22.7,20.6,3.76,16.55,1.28
39,1,2024-01-01,,Mott's,Beverages,R07,Competitor,12.3,13.1,2.04,16.55,-0.14
40,1,2024-01-01,,Juicy Juice,Beverages,R07,Competitor,13.2,14.0,2.19,16.55,0.28
41,1,2024-01-01,,Honest Kids,Beverages,R07,Competitor,14.2,14.2,2.35,16.55,0.32
42,1,2024-01-01,,Private Label,Beverages,R07,Competitor,15.4,14.7,2.55,16.55,-0.51
43,1,2024-01-01,B13,Capri Sun,Beverages,R08,KHC Brand,15.2,16.4,1.6,10.5,-0.69
44,1,2024-01-01,B18,Kool-Aid,Beverages,R08,KHC Brand,22.2,20.1,2.33,10.5,-0.97
45,1,2024-01-01,,Mott's,Beverages,R08,Competitor,16.7,15.9,1.75,10.5,1.42
46,1,2024-01-01,,Juicy Juice,Beverages,R08,Competitor,10.7,10.2,1.12,10.5,-1.41
47,1,2024-01-01,,Honest Kids,Beverages,R08,Competitor,16.1,14.6,1.69,10.5,-0.4
48,1,2024-01-01,,Private Label,Beverages,R08,Competitor,16.6,15.6,1.74,10.5,-0.24
49,1,2024-01-01,B13,Capri Sun,Beverages,R09,KHC Brand,20.5,18.7,1.94,9.44,0.46
50,1,2024-01-01,B18,Kool-Aid,Beverages,R09,KHC Brand,25.3,27.4,2.39,9.44,0.81
51,1,2024-01-01,,Mott's,Beverages,R09,Competitor,11.2,11.8,1.06,9.44,0.27
52,1,2024-01-01,,Juicy Juice,Beverages,R09,Competitor,14.8,15.6,1.4,9.44,-0.47
53,1,2024-01-01,,Honest Kids,Beverages,R09,Competitor,12.9,13.1,1.22,9.44,-0.46
54,1,2024-01-01,,Private Label,Beverages,R09,Competitor,11.8,12.2,1.11,9.44,-1.3
55,1,2024-01-01,B13,Capri Sun,Beverages,R10,KHC Brand,21.7,21.5,1.41,6.51,0.86
56,1,2024-01-01,B18,Kool-Aid,Beverages,R10,KHC Brand,24.0,22.0,1.56,6.51,-1.17
57,1,2024-01-01,,Mott's,Beverages,R10,Competitor,14.7,15.5,0.96,6.51,-0.49
58,1,2024-01-01,,Juicy Juice,Beverages,R10,Competitor,13.3,13.4,0.87,6.51,1.6
59,1,2024-01-01,,Honest Kids,Beverages,R10,Competitor,17.4,15.9,1.13,6.51,-2.09
60,1,2024-01-01,,Private Label,Beverages,R10,Competitor,14.3,15.3,0.93,6.51,-0.07
61,2,2024-01-08,B13,Capri Sun,Beverages,R01,KHC Brand,19.0,17.8,13.33,70.15,-0.45
62,2,2024-01-08,B18,Kool-Aid,Beverages,R01,KHC Brand,24.0,22.9,16.84,70.15,-0.88
63,2,2024-01-08,,Mott's,Beverages,R01,Competitor,16.3,17.1,11.43,70.15,0.61
64,2,2024-01-08,,Juicy Juice,Beverages,R01,Competitor,17.5,17.0,12.28,70.15,-0.82
65,2,2024-01-08,,Honest Kids,Beverages,R01,Competitor,14.8,16.0,10.38,70.15,1.43
66,2,2024-01-08,,Private Label,Beverages,R01,Competitor,12.9,13.8,9.05,70.15,-1.01
67,2,2024-01-08,B13,Capri Sun,Beverages,R02,KHC Brand,19.0,18.6,7.44,39.17,0.93
68,2,2024-01-08,B18,Kool-Aid,Beverages,R02,KHC Brand,23.0,24.2,9.01,39.17,1.55
69,2,2024-01-08,,Mott's,Beverages,R02,Competitor,12.7,13.9,4.97,39.17,0.33
70,2,2024-01-08,,Juicy Juice,Beverages,R02,Competitor,13.1,13.9,5.13,39.17,-0.57
71,2,2024-01-08,,Honest Kids,Beverages,R02,Competitor,16.1,17.3,6.31,39.17,-0.37
72,2,2024-01-08,,Private Label,Beverages,R02,Competitor,11.5,11.8,4.5,39.17,-0.84
73,2,2024-01-08,B13,Capri Sun,Beverages,R03,KHC Brand,19.6,17.8,5.24,26.71,0.32
74,2,2024-01-08,B18,Kool-Aid,Beverages,R03,KHC Brand,25.1,23.2,6.7,26.71,-0.48
75,2,2024-01-08,,Mott's,Beverages,R03,Competitor,11.7,11.4,3.13,26.71,-0.86
76,2,2024-01-08,,Juicy Juice,Beverages,R03,Competitor,12.3,13.4,3.29,26.71,-0.24
77,2,2024-01-08,,Honest Kids,Beverages,R03,Competitor,11.5,11.7,3.07,26.71,0.65
78,2,2024-01-08,,Private Label,Beverages,R03,Competitor,14.9,15.2,3.98,26.71,-0.89
79,2,2024-01-08,B13,Capri Sun,Beverages,R04,KHC Brand,18.2,16.9,4.19,23.03,-0.71
80,2,2024-01-08,B18,Kool-Aid,Beverages,R04,KHC Brand,23.8,22.5,5.48,23.03,-0.67
81,2,2024-01-08,,Mott's,Beverages,R04,Competitor,18.8,18.5,4.33,23.03,-1.47
82,2,2024-01-08,,Juicy Juice,Beverages,R04,Competitor,12.0,12.5,2.76,23.03,-0.39
83,2,2024-01-08,,Honest Kids,Beverages,R04,Competitor,14.7,13.9,3.39,23.03,-0.12
84,2,2024-01-08,,Private Label,Beverages,R04,Competitor,16.3,15.6,3.75,23.03,0.15
85,2,2024-01-08,B13,Capri Sun,Beverages,R05,KHC Brand,17.1,17.9,3.1,18.11,0.85
86,2,2024-01-08,B18,Kool-Aid,Beverages,R05,KHC Brand,24.9,25.3,4.51,18.11,1.11
87,2,2024-01-08,,Mott's,Beverages,R05,Competitor,14.6,14.0,2.64,18.11,0.67
88,2,2024-01-08,,Juicy Juice,Beverages,R05,Competitor,9.1,9.1,1.65,18.11,-0.59
89,2,2024-01-08,,Honest Kids,Beverages,R05,Competitor,12.7,13.0,2.3,18.11,0.36
90,2,2024-01-08,,Private Label,Beverages,R05,Competitor,13.0,11.9,2.35,18.11,0.58
91,2,2024-01-08,B13,Capri Sun,Beverages,R06,KHC Brand,19.7,20.3,3.68,18.69,-0.49
92,2,2024-01-08,B18,Kool-Aid,Beverages,R06,KHC Brand,24.4,25.1,4.56,18.69,-0.17
93,2,2024-01-08,,Mott's,Beverages,R06,Competitor,14.2,15.5,2.65,18.69,0.4
