promo_id,fiscal_week,week_start_date,sku_id,brand_id,retailer_id,promo_type,planned_discount_pct,actual_discount_pct,planned_stores,compliant_stores,compliance_pct,volume_lift_factor,incremental_units,promo_spend_dollars,is_holiday_promo,occasion
1,40,2024-09-30,SK001,B01,R01,TPR,23.0,24.0,4600,2359,51.3,1.18,3006,121426.66,False,
2,44,2024-10-28,SK001,B01,R01,Feature,26.0,25.0,4600,3059,66.5,1.22,2808,1068279.16,True,Halloween
3,43,2024-10-21,SK001,B01,R01,TPR,29.0,25.0,4600,3247,70.6,1.16,1132,1191542.14,False,
4,31,2024-07-29,SK001,B01,R01,Feature + Display,16.0,16.0,4600,2603,56.6,1.51,4723,455407.36,False,
5,14,2024-04-01,SK001,B01,R01,Feature,16.0,15.0,4600,3367,73.2,1.28,1139,701474.24,True,Easter
6,50,2024-12-09,SK001,B01,R01,Feature + Display,14.0,14.0,4600,2645,57.5,1.89,8435,337423.8,True,Christmas
7,35,2024-08-26,SK001,B01,R01,Feature + Display,29.0,26.0,4600,3003,65.3,1.78,4980,605756.06,True,Back to School
8,45,2024-11-04,SK001,B01,R02,TPR + Feature,31.0,32.0,2800,1918,68.5,1.57,1925,623710.08,False,
9,51,2024-12-16,SK001,B01,R02,Feature + Display,14.0,12.0,2800,1629,58.2,1.86,4861,342314.0,False,
10,31,2024-07-29,SK001,B01,R02,Feature,20.0,18.0,2800,1601,57.2,1.55,3917,190019.2,False,
11,28,2024-07-08,SK001,B01,R02,Display,23.0,22.0,2800,1864,66.6,1.46,2595,347064.48,False,
12,18,2024-04-29,SK001,B01,R02,Feature + Display,23.0,21.0,2800,2094,74.8,1.49,3222,102833.92,True,Cinco de Mayo
13,14,2024-04-01,SK001,B01,R02,TPR,11.0,11.0,2800,1652,59.0,1.15,371,141396.64,True,Easter
14,33,2024-08-12,SK001,B01,R02,TPR,9.0,8.0,2800,1722,61.5,1.43,3216,211256.64,False,
15,15,2024-04-08,SK001,B01,R03,TPR,8.0,8.0,1900,1335,70.3,1.46,986,79640.4,False,
16,46,2024-11-11,SK001,B01,R03,TPR + Feature,28.0,25.0,1900,1208,63.6,1.72,1055,366345.84,False,
17,29,2024-07-15,SK001,B01,R03,TPR,8.0,7.0,1900,1284,67.6,1.19,1548,122115.28,False,
18,39,2024-09-23,SK001,B01,R03,Feature + Display,18.0,16.0,1900,1045,55.0,1.82,2032,247454.1,False,
19,9,2024-02-26,SK001,B01,R03,TPR,15.0,16.0,1900,1273,67.0,1.36,2038,71107.5,True,Valentine's Day
20,16,2024-04-15,SK001,B01,R04,TPR,11.0,11.0,575,430,74.8,1.27,66,61545.41,False,
21,3,2024-01-15,SK001,B01,R04,Feature,28.0,25.0,575,335,58.4,1.16,778,156661.05,False,
22,12,2024-03-18,SK001,B01,R04,TPR + Feature,13.0,13.0,575,370,64.5,1.75,568,28721.19,False,
23,27,2024-07-01,SK001,B01,R05,Display,12.0,11.0,1330,990,74.5,1.25,476,129017.45,True,July 4th
24,29,2024-07-15,SK001,B01,R05,Display,10.0,9.0,1330,1224,92.1,1.51,950,43138.55,False,
25,18,2024-04-29,SK001,B01,R05,Feature,27.0,24.0,1330,703,52.9,1.16,1336,329711.26,True,Cinco de Mayo
26,19,2024-05-06,SK001,B01,R06,Feature,31.0,31.0,2280,1719,75.4,1.46,1860,500824.34,False,
27,9,2024-02-26,SK001,B01,R06,TPR,14.0,14.0,2280,1541,67.6,1.28,121,146538.34,True,Valentine's Day
28,34,2024-08-19,SK001,B01,R06,TPR,28.0,28.0,2280,1406,61.7,1.2,158,573410.88,False,
29,2,2024-01-08,SK001,B01,R06,TPR + Feature,23.0,22.0,2280,1288,56.5,1.76,1810,259058.84,False,
30,18,2024-04-29,SK001,B01,R06,Feature,29.0,27.0,2280,1409,61.8,1.39,465,356333.9,True,Cinco de Mayo
31,13,2024-03-25,SK001,B01,R06,TPR,9.0,8.0,2280,1422,62.4,1.28,571,22526.86,False,
