sale_id,fiscal_week,week_start_date,sku_id,brand_id,retailer_id,units_sold,gross_sales,net_sales,cogs,gross_margin,is_on_promo,discount_pct,realized_price,yoy_index,prior_yr_net_sales
1,1,2024-01-01,SK001,B01,R01,22,109.78,109.78,40.04,69.74,False,0.0,4.99,1.02,107.63
2,1,2024-01-01,SK001,B01,R02,12,59.88,59.88,21.84,38.04,False,0.0,4.99,1.02,58.71
3,1,2024-01-01,SK001,B01,R03,9,44.91,44.91,16.38,28.53,False,0.0,4.99,1.02,44.03
4,1,2024-01-01,SK001,B01,R04,9,44.91,44.91,16.38,28.53,False,0.0,4.99,1.02,44.03
5,1,2024-01-01,SK001,B01,R05,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
6,1,2024-01-01,SK001,B01,R06,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
7,1,2024-01-01,SK001,B01,R07,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
8,1,2024-01-01,SK001,B01,R08,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
9,1,2024-01-01,SK001,B01,R09,2,9.98,7.32,3.64,3.68,True,26.7,3.66,1.02,7.18
10,1,2024-01-01,SK001,B01,R10,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
11,2,2024-01-08,SK001,B01,R01,18,89.82,89.82,32.76,57.06,False,0.0,4.99,1.02,88.06
12,2,2024-01-08,SK001,B01,R02,12,59.88,59.88,21.84,38.04,False,0.0,4.99,1.02,58.71
13,2,2024-01-08,SK001,B01,R03,9,44.91,44.91,16.38,28.53,False,0.0,4.99,1.02,44.03
14,2,2024-01-08,SK001,B01,R04,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
15,2,2024-01-08,SK001,B01,R05,4,19.96,15.56,7.28,8.28,True,22.0,3.89,1.02,15.25
16,2,2024-01-08,SK001,B01,R06,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
17,2,2024-01-08,SK001,B01,R07,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
18,2,2024-01-08,SK001,B01,R08,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
19,2,2024-01-08,SK001,B01,R09,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
20,2,2024-01-08,SK001,B01,R10,1,4.99,4.99,1.82,3.17,False,0.0,4.99,1.02,4.89
21,3,2024-01-15,SK001,B01,R01,25,124.75,124.75,45.5,79.25,False,0.0,4.99,1.02,122.3
22,3,2024-01-15,SK001,B01,R02,12,59.88,59.88,21.84,38.04,False,0.0,4.99,1.02,58.71
23,3,2024-01-15,SK001,B01,R03,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
24,3,2024-01-15,SK001,B01,R04,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
25,3,2024-01-15,SK001,B01,R05,5,24.95,20.55,9.1,11.45,True,17.6,4.11,1.02,20.15
26,3,2024-01-15,SK001,B01,R06,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
27,3,2024-01-15,SK001,B01,R07,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
28,3,2024-01-15,SK001,B01,R08,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
29,3,2024-01-15,SK001,B01,R09,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
30,3,2024-01-15,SK001,B01,R10,1,4.99,4.99,1.82,3.17,False,0.0,4.99,1.02,4.89
31,4,2024-01-22,SK001,B01,R01,25,124.75,124.75,45.5,79.25,False,0.0,4.99,1.02,122.3
32,4,2024-01-22,SK001,B01,R02,24,119.76,101.52,43.68,57.84,True,15.2,4.23,1.02,99.53
33,4,2024-01-22,SK001,B01,R03,12,59.88,59.88,21.84,38.04,False,0.0,4.99,1.02,58.71
34,4,2024-01-22,SK001,B01,R04,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
35,4,2024-01-22,SK001,B01,R05,9,44.91,44.91,16.38,28.53,False,0.0,4.99,1.02,44.03
36,4,2024-01-22,SK001,B01,R06,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
37,4,2024-01-22,SK001,B01,R07,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
38,4,2024-01-22,SK001,B01,R08,2,9.98,8.14,3.64,4.5,True,18.5,4.07,1.02,7.98
39,4,2024-01-22,SK001,B01,R09,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
40,4,2024-01-22,SK001,B01,R10,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
