dist_id,fiscal_week,week_start_date,sku_id,brand_id,retailer_id,acv_pct,tdp,velocity_per_tdp,store_count_dist,numeric_dist_pct,acv_gap_pct
1,1,2024-01-01,SK001,B01,R01,21.1,22.3,4.92,4416,17.4,73.9
2,1,2024-01-01,SK001,B01,R02,20.0,20.3,2.95,2688,20.5,75.0
3,1,2024-01-01,SK001,B01,R03,20.0,19.5,2.3,1824,23.9,75.0
4,1,2024-01-01,SK001,B01,R04,20.0,20.4,2.2,552,23.2,75.0
5,1,2024-01-01,SK001,B01,R05,20.0,17.3,1.44,1276,22.7,75.0
6,1,2024-01-01,SK001,B01,R06,20.0,18.0,1.39,2188,16.1,75.0
7,1,2024-01-01,SK001,B01,R07,20.0,22.0,1.13,1920,18.7,75.0
8,1,2024-01-01,SK001,B01,R08,20.0,20.9,0.72,326,19.0,75.0
9,1,2024-01-01,SK001,B01,R09,20.0,21.4,0.34,18240,15.5,75.0
10,1,2024-01-01,SK001,B01,R10,20.0,19.2,0.52,480,21.3,75.0
11,2,2024-01-08,SK001,B01,R01,20.9,21.3,4.22,4416,19.9,74.1
12,2,2024-01-08,SK001,B01,R02,20.0,21.5,2.79,2688,23.6,75.0
13,2,2024-01-08,SK001,B01,R03,20.0,21.1,2.13,1824,15.9,75.0
14,2,2024-01-08,SK001,B01,R04,20.0,20.3,0.98,552,17.5,75.0
15,2,2024-01-08,SK001,B01,R05,20.0,20.2,0.77,1276,18.6,75.0
16,2,2024-01-08,SK001,B01,R06,20.0,21.8,0.92,2188,19.1,75.0
17,2,2024-01-08,SK001,B01,R07,20.0,17.9,0.84,1920,24.8,75.0
18,2,2024-01-08,SK001,B01,R08,20.0,22.0,0.68,326,24.1,75.0
19,2,2024-01-08,SK001,B01,R09,20.0,18.3,0.55,18240,18.1,75.0
20,2,2024-01-08,SK001,B01,R10,20.0,19.9,0.25,480,18.1,75.0
21,3,2024-01-15,SK001,B01,R01,20.2,20.6,6.06,4416,18.6,74.8
22,3,2024-01-15,SK001,B01,R02,20.0,21.6,2.77,2688,21.7,75.0
23,3,2024-01-15,SK001,B01,R03,20.0,21.6,1.85,1824,15.6,75.0
24,3,2024-01-15,SK001,B01,R04,20.0,18.6,1.34,552,16.9,75.0
25,3,2024-01-15,SK001,B01,R05,20.0,19.5,1.05,1276,19.9,75.0
26,3,2024-01-15,SK001,B01,R06,20.0,21.2,1.18,2188,15.8,75.0
27,3,2024-01-15,SK001,B01,R07,20.0,22.0,0.68,1920,15.1,75.0
28,3,2024-01-15,SK001,B01,R08,20.0,19.5,0.77,326,22.0,75.0
29,3,2024-01-15,SK001,B01,R09,20.0,21.4,0.47,18240,16.9,75.0
30,3,2024-01-15,SK001,B01,R10,20.0,21.2,0.24,480,24.0,75.0
31,4,2024-01-22,SK001,B01,R01,21.5,21.2,5.88,4416,23.7,73.5
32,4,2024-01-22,SK001,B01,R02,20.0,18.7,5.43,2688,21.0,75.0
33,4,2024-01-22,SK001,B01,R03,20.0,21.5,2.79,1824,19.9,75.0
34,4,2024-01-22,SK001,B01,R04,20.0,18.6,2.15,552,24.3,75.0
35,4,2024-01-22,SK001,B01,R05,20.0,17.9,2.51,1276,17.6,75.0
36,4,2024-01-22,SK001,B01,R06,20.0,17.3,1.44,2188,18.4,75.0
37,4,2024-01-22,SK001,B01,R07,20.0,18.6,1.61,1920,24.6,75.0
38,4,2024-01-22,SK001,B01,R08,20.0,21.8,0.37,326,22.4,75.0
39,4,2024-01-22,SK001,B01,R09,20.0,21.2,0.71,18240,16.6,75.0
40,4,2024-01-22,SK001,B01,R10,20.0,18.1,0.55,480,23.1,75.0
41,5,2024-01-29,SK001,B01,R01,22.3,19.5,5.21,4416,26.5,72.7
42,5,2024-01-29,SK001,B01,R02,20.0,18.4,3.53,2688,17.3,75.0
43,5,2024-01-29,SK001,B01,R03,20.0,21.6,1.85,1824,17.5,75.0
44,5,2024-01-29,SK001,B01,R04,20.0,21.8,1.37,552,16.3,75.0
45,5,2024-01-29,SK001,B01,R05,20.0,21.8,0.92,1276,19.6,75.0
46,5,2024-01-29,SK001,B01,R06,20.0,18.4,1.08,2188,21.4,75.0
47,5,2024-01-29,SK001,B01,R07,20.0,18.4,1.08,1920,17.3,75.0
48,5,2024-01-29,SK001,B01,R08,20.0,20.6,0.73,326,16.5,75.0
49,5,2024-01-29,SK001,B01,R09,20.0,20.5,0.65,18240,18.5,75.0
50,5,2024-01-29,SK001,B01,R10,20.0,19.3,0.26,480,19.3,75.0
51,6,2024-02-05,SK001,B01,R01,20.0,21.6,4.85,4416,20.0,75.0
52,6,2024-02-05,SK001,B01,R02,20.0,20.2,2.96,2688,17.8,75.0
53,6,2024-02-05,SK001,B01,R03,20.0,20.5,1.41,1824,17.9,75.0
54,6,2024-02-05,SK001,B01,R04,20.0,21.3,1.87,552,19.7,75.0
55,6,2024-02-05,SK001,B01,R05,20.0,19.3,1.2,1276,17.6,75.0
56,6,2024-02-05,SK001,B01,R06,20.0,20.2,1.48,2188,18.9,75.0
57,6,2024-02-05,SK001,B01,R07,20.0,18.4,0.81,1920,21.2,75.0
58,6,2024-02-05,SK001,B01,R08,20.0,17.8,0.56,326,23.7,75.0
59,6,2024-02-05,SK001,B01,R09,20.0,20.7,0.55,18240,20.1,75.0
60,6,2024-02-05,SK001,B01,R10,20.0,20.3,0.49,480,18.0,75.0
61,7,2024-02-12,SK001,B01,R01,20.7,20.5,3.61,4416,15.8,74.3
62,7,2024-02-12,SK001,B01,R02,20.0,19.3,2.26,2688,24.0,75.0
63,7,2024-02-12,SK001,B01,R03,20.0,20.3,1.72,1824,15.7,75.0
64,7,2024-02-12,SK001,B01,R04,20.0,17.2,1.24,552,20.7,75.0
65,7,2024-02-12,SK001,B01,R05,20.0,19.8,1.51,1276,17.9,75.0
66,7,2024-02-12,SK001,B01,R06,20.0,17.9,1.67,2188,20.1,75.0
67,7,2024-02-12,SK001,B01,R07,20.0,19.9,1.0,1920,17.5,75.0
68,7,2024-02-12,SK001,B01,R08,20.0,18.9,0.79,326,17.6,75.0
69,7,2024-02-12,SK001,B01,R09,20.0,17.6,0.85,18240,20.0,75.0
70,7,2024-02-12,SK001,B01,R10,20.0,19.1,0.26,480,20.1,75.0
71,8,2024-02-19,SK001,B01,R01,21.5,23.4,4.48,4416,21.2,73.5
72,8,2024-02-19,SK001,B01,R02,20.0,20.9,3.82,2688,24.7,75.0
73,8,2024-02-19,SK001,B01,R03,20.0,21.3,1.87,1824,16.8,75.0
74,8,2024-02-19,SK001,B01,R04,20.0,19.6,2.29,552,15.7,75.0
75,8,2024-02-19,SK001,B01,R05,20.0,18.7,0.8,1276,18.6,75.0
