vd_id,fiscal_week,brand_id,retailer_id,current_net_sales,prior_yr_net_sales,total_change,pct_change,distribution_driver,velocity_driver,price_mix_driver,promo_driver,base_volume,incremental_volume,price_elasticity
1,1,B01,R01,437.22,428.65,8.57,2.0,0.75,4.0,-1.08,4.9,320.73,138.18,-2.48
2,1,B01,R02,261.44000000000005,256.31,5.13,2.0,-0.46,1.81,1.45,2.33,183.0,110.55,-1.65
3,1,B01,R03,147.05,144.17,2.88,2.0,1.17,1.68,0.76,-0.73,96.48,55.85,-2.42
4,1,B01,R04,143.73,140.91,2.82,2.0,1.4,-0.79,0.27,1.94,88.09,36.28,-1.06
5,1,B01,R05,107.9,105.78,2.12,2.0,-0.22,0.73,0.34,1.27,64.07,40.31,-1.05
6,1,B01,R06,87.19,85.48,1.71,2.0,-0.43,-0.06,0.15,2.05,62.26,31.24,-1.31
7,1,B01,R07,83.92,82.27,1.65,2.0,0.14,-0.6,0.07,2.04,56.98,24.8,-1.65
8,1,B01,R08,57.029999999999994,55.91,1.12,2.0,-0.33,-0.11,-0.12,1.68,37.56,21.06,-1.6
9,1,B01,R09,41.97,41.15,0.82,2.0,0.03,-0.16,-0.2,1.15,30.39,10.74,-1.41
10,1,B01,R10,35.32,34.63,0.69,2.0,0.33,0.2,-0.17,0.33,22.71,10.22,-2.38
11,2,B01,R01,452.4,443.53,8.87,2.0,-1.84,1.29,-2.54,11.96,250.33,135.68,-2.46
12,2,B01,R02,244.04,239.25,4.79,2.0,-0.17,2.37,0.55,2.04,162.31,104.03,-1.41
13,2,B01,R03,185.86,182.22,3.64,2.0,-0.07,-0.13,-0.34,4.18,137.86,78.68,-1.77
14,2,B01,R04,110.64000000000001,108.47,2.17,2.0,0.64,-0.64,-0.6,2.77,68.19,42.33,-2.06
15,2,B01,R05,109.67,107.52,2.15,2.0,-0.47,1.03,0.16,1.43,73.55,40.26,-1.71
16,2,B01,R06,98.4,96.47,1.93,2.0,0.28,0.53,-0.27,1.39,67.41,34.99,-1.16
17,2,B01,R07,72.12,70.71,1.41,2.0,0.14,0.39,-0.32,1.2,47.32,30.3,-1.71
18,2,B01,R08,53.05,52.01,1.04,2.0,-0.09,-0.22,0.16,1.19,30.76,20.82,-1.95
19,2,B01,R09,46.35,45.44,0.91,2.0,0.11,-0.35,0.17,0.98,33.44,15.78,-1.06
20,2,B01,R10,27.840000000000003,27.29,0.55,2.0,0.02,-0.08,0.09,0.52,19.17,10.19,-2.4
21,3,B01,R01,492.09,482.44,9.65,2.0,-1.57,2.81,1.91,6.5,283.56,194.47,-1.7
22,3,B01,R02,243.97,239.19,4.78,2.0,2.36,0.34,-0.15,2.23,177.5,78.88,-2.45
23,3,B01,R03,162.5,159.31,3.19,2.0,-0.17,0.1,-0.9,4.16,95.53,52.91,-1.38
24,3,B01,R04,151.76999999999998,148.79,2.98,2.0,1.43,-0.49,0.24,1.8,105.7,51.6,-2.46
25,3,B01,R05,94.8,92.94,1.86,2.0,0.87,-0.09,-0.33,1.41,69.78,33.55,-1.82
26,3,B01,R06,119.05,116.72,2.33,2.0,-0.11,0.58,-0.31,2.17,76.87,46.0,-1.83
27,3,B01,R07,70.4,69.02,1.38,2.0,-0.29,0.77,-0.31,1.21,51.19,23.6,-2.42
28,3,B01,R08,57.370000000000005,56.25,1.12,2.0,-0.16,0.37,-0.1,1.01,36.26,22.72,-1.95
29,3,B01,R09,42.38,41.55,0.83,2.0,-0.06,0.07,0.08,0.74,31.23,13.23,-2.07
30,3,B01,R10,27.840000000000003,27.29,0.55,2.0,-0.05,0.09,-0.08,0.59,20.02,11.77,-1.82
31,4,B01,R01,501.28,491.45,9.83,2.0,-0.23,2.58,2.08,5.4,281.01,168.28,-2.14
32,4,B01,R02,350.40999999999997,343.54,6.87,2.0,1.4,-2.06,1.5,6.03,216.49,118.68,-2.17
33,4,B01,R03,262.98,257.82,5.16,2.0,0.32,0.97,-0.16,4.03,174.61,89.81,-1.67
34,4,B01,R04,196.95999999999998,193.1,3.86,2.0,1.35,-0.94,-0.45,3.9,124.67,50.65,-2.49
35,4,B01,R05,159.94,156.8,3.14,2.0,0.28,-0.44,-0.48,3.78,112.16,62.14,-2.12
36,4,B01,R06,120.28,117.92,2.36,2.0,0.26,0.74,-0.66,2.02,77.03,53.7,-2.13
37,4,B01,R07,120.44,118.08,2.36,2.0,0.57,1.3,-0.46,0.95,86.59,32.68,-1.66
38,4,B01,R08,65.71,64.42,1.29,2.0,0.4,0.75,0.16,-0.02,40.32,21.35,-2.2
39,4,B01,R09,70.21000000000001,68.83,1.38,2.0,0.57,0.19,0.31,0.31,41.2,26.43,-1.78
40,4,B01,R10,40.18,39.39,0.79,2.0,-0.19,-0.18,-0.23,1.39,23.39,17.16,-2.4
41,5,B01,R01,471.0,461.76,9.24,2.0,-2.16,-3.02,-2.68,17.1,310.56,205.23,-1.22
42,5,B01,R02,316.08,309.88,6.2,2.0,-1.75,1.06,1.12,5.77,175.09,87.74,-2.4
43,5,B01,R03,177.5,174.02,3.48,2.0,0.96,1.74,0.47,0.31,110.59,53.15,-1.36
44,5,B01,R04,126.88,124.39,2.49,2.0,0.7,-0.43,-0.67,2.89,69.96,56.45,-1.59
45,5,B01,R05,112.30000000000001,110.1,2.2,2.0,0.76,-0.84,-0.59,2.87,71.25,44.67,-1.06
46,5,B01,R06,102.27000000000001,100.26,2.01,2.0,-0.59,-0.59,0.09,3.1,58.99,30.25,-1.38
47,5,B01,R07,76.27,74.77,1.5,2.0,0.64,0.25,0.19,0.42,52.02,20.04,-2.01
48,5,B01,R08,64.92,63.65,1.27,2.0,-0.01,-0.07,0.01,1.34,36.65,28.67,-2.03
49,5,B01,R09,55.16,54.08,1.08,2.0,0.04,-0.29,-0.12,1.45,37.77,20.02,-1.47
50,5,B01,R10,27.840000000000003,27.29,0.55,2.0,-0.15,0.32,0.01,0.37,15.38,12.22,-1.46
51,6,B01,R01,443.81,435.11,8.7,2.0,0.26,4.13,1.54,2.77,310.81,189.18,-2.42
52,6,B01,R02,264.59000000000003,259.4,5.19,2.0,-0.48,0.36,0.47,4.84,153.08,70.51,-1.55
53,6,B01,R03,181.47,177.91,3.56,2.0,-0.24,0.69,0.47,2.64,133.68,59.77,-2.19
54,6,B01,R04,153.43,150.42,3.01,2.0,0.7,-0.22,-0.29,2.82,94.7,64.55,-1.77
55,6,B01,R05,114.3,112.06,2.24,2.0,-0.23,0.32,-0.65,2.8,77.23,43.97,-2.23
56,6,B01,R06,114.96000000000001,112.71,2.25,2.0,0.9,-0.88,0.58,1.65,78.25,46.29,-2.18
57,6,B01,R07,83.21000000000001,81.58,1.63,2.0,0.32,0.09,0.25,0.97,48.77,26.92,-1.22
58,6,B01,R08,54.11,53.05,1.06,2.0,-0.25,-0.3,-0.19,1.8,36.9,21.61,-1.13
59,6,B01,R09,44.88999999999999,44.01,0.88,2.0,0.37,-0.31,-0.08,0.9,32.04,11.4,-1.79
60,6,B01,R10,32.760000000000005,32.12,0.64,2.0,-0.01,-0.05,0.02,0.68,19.3,14.37,-1.44
61,7,B01,R01,414.95000000000005,406.81,8.14,2.0,-2.05,-2.96,0.32,12.83,253.62,158.13,-1.12
62,7,B01,R02,214.47999999999996,210.27,4.21,2.0,0.6,1.48,-0.1,2.23,142.04,72.6,-1.92
63,7,B01,R03,193.45,189.66,3.79,2.0,0.99,0.81,-0.04,2.03,129.52,59.58,-1.4
64,7,B01,R04,139.37,136.64,2.73,2.0,-0.31,0.78,-0.77,3.03,87.03,56.32,-1.73
65,7,B01,R05,124.21,121.77,2.44,2.0,0.53,1.08,-0.04,0.87,72.99,51.03,-1.08
66,7,B01,R06,127.33,124.83,2.5,2.0,-0.29,0.06,0.32,2.41,80.67,32.56,-2.05
67,7,B01,R07,75.63000000000001,74.15,1.48,2.0,0.03,-0.22,0.01,1.66,41.74,20.13,-1.57
68,7,B01,R08,53.81999999999999,52.76,1.06,2.0,0.06,0.21,0.21,0.58,35.52,16.01,-2.42
69,7,B01,R09,52.379999999999995,51.35,1.03,2.0,-0.24,0.19,-0.26,1.34,34.54,14.08,-2.38
70,7,B01,R10,29.54,28.96,0.58,2.0,0.13,0.18,-0.12,0.39,20.97,9.97,-1.4
71,8,B01,R01,448.7,439.9,8.8,2.0,2.05,-0.62,-0.07,7.44,321.92,137.39,-1.72
72,8,B01,R02,290.32,284.63,5.69,2.0,0.77,1.73,0.93,2.26,204.24,84.1,-2.36
73,8,B01,R03,167.36,164.08,3.28,2.0,1.2,1.82,-0.32,0.58,94.73,57.01,-2.21
74,8,B01,R04,169.82000000000002,166.49,3.33,2.0,-0.33,1.98,0.16,1.52,116.51,54.5,-2.09
